alpha_F,alpha_T,alpha_N,Rwp,sizeF,sizeT,sizeN,concF,concT,concN
0.04,0.72,0.24,26.381059,91.7876657,19.08528,61.5220863,1.853,82.556,15.59
0.04,0.74,0.22,25.8934643,91.7876657,19.08528,61.5220863,1.776,84.68,13.544
0.04,0.76,0.2,25.3872155,91.7876657,19.08528,61.5220863,1.712,86.616,11.672
0.04,0.78,0.18,24.923716,91.7876657,19.08528,61.5220863,1.625,88.404,9.971
0.04,0.8,0.16,24.4795878,91.7876657,19.08528,61.5220863,1.554,89.977,8.469
0.04,0.8200000000000001,0.14,24.2243763,91.7876657,19.08528,61.5220863,1.158,91.924,6.918
0.04,0.84,0.12,23.9867446,91.7876657,19.08528,61.5220863,1.094,93.241,5.665
0.04,0.86,0.1,23.9367095,91.7876657,19.08528,61.5220863,1.026,94.417,4.557
0.04,0.88,0.08,24.0940229,91.7876657,19.08528,61.5220863,0.98,95.454,3.566
0.04,0.9,0.06,24.489649,91.7876657,19.08528,61.5220863,0.883,96.414,2.704
0.04,0.92,0.04,25.1007819,91.7876657,19.08528,61.5220863,0.852,97.177,1.97
0.04,0.9400000000000001,0.02,25.8758619,91.7876657,19.08528,61.5220863,1.027,97.794,1.179
0.04,0.96,0.0,26.8214442,91.7876657,19.08528,0.0,1.262,98.738,0.0
0.06,0.0,0.9400000000000001,25.0566697,91.7876657,0.0,61.5220863,2.525,0.0,97.475
0.06,0.02,0.92,24.7577381,91.7876657,19.08528,61.5220863,2.657,0.0,97.343
0.06,0.04,0.9,24.5664155,91.7876657,19.08528,61.5220863,2.72,0.084,97.196
0.06,0.06,0.88,24.4819341,91.7876657,19.08528,61.5220863,2.779,0.14,97.081
0.06,0.08,0.86,24.4863749,91.7876657,19.08528,61.5220863,2.808,0.495,96.697
0.06,0.1,0.84,24.5836044,91.7876657,19.08528,61.5220863,2.827,0.899,96.274
0.06,0.12,0.8200000000000001,24.7713787,91.7876657,19.08528,61.5220863,2.832,1.395,95.773
0.06,0.14,0.8,24.9544011,91.7876657,19.08528,61.5220863,2.986,2.575,94.439
0.06,0.16,0.78,25.2521201,91.7876657,19.08528,61.5220863,3.065,3.48,93.455
0.06,0.18,0.76,25.1840327,91.7876657,19.08528,61.5220863,3.248,6.633,90.119
0.06,0.2,0.74,25.4769359,91.7876657,19.08528,61.5220863,3.313,8.028,88.659
0.06,0.22,0.72,25.8090701,91.7876657,19.08528,61.5220863,3.403,9.558,87.039
0.06,0.24,0.7000000000000001,26.1541322,91.7876657,19.08528,61.5220863,3.487,11.28,85.232
0.06,0.26,0.68,26.5107377,91.7876657,19.08528,61.5220863,3.512,13.22,83.268
0.06,0.28,0.66,26.898555,91.7876657,19.08528,61.5220863,3.603,15.271,81.127
0.06,0.3,0.64,27.2517824,91.7876657,19.08528,61.5220863,3.617,17.586,78.797
0.06,0.32,0.62,27.6161793,91.7876657,19.08528,61.5220863,3.647,20.059,76.294
0.06,0.34,0.6,27.9702998,91.7876657,19.08528,61.5220863,3.633,22.748,73.62
0.06,0.36,0.58,28.206522,91.7876657,19.08528,61.5220863,3.687,25.587,70.726
0.06,0.38,0.56,28.462721,91.7876657,19.08528,61.5220863,3.607,28.734,67.659
0.06,0.4,0.54,28.6959261,91.7876657,19.08528,61.5220863,3.658,31.856,64.486
0.06,0.42,0.52,28.9033007,91.7876657,19.08528,61.5220863,3.676,35.155,61.17
0.06,0.44,0.5,29.040434,91.7876657,19.08528,61.5220863,3.622,38.678,57.699
0.06,0.46,0.48,29.1816801,91.7876657,19.08528,61.5220863,3.579,42.164,54.256
0.06,0.48,0.46,29.1568732,91.7876657,19.08528,61.5220863,3.308,46.083,50.609
0.06,0.5,0.44,29.1048592,91.7876657,19.08528,61.5220863,3.236,49.806,46.958
0.06,0.52,0.42,29.0468391,91.7876657,19.08528,61.5220863,3.119,53.509,43.372
0.06,0.54,0.4,28.9292203,91.7876657,19.08528,61.5220863,2.947,57.208,39.845
0.06,0.56,0.38,28.7243612,91.7876657,19.08528,61.5220863,2.927,60.673,36.4
0.06,0.58,0.36,28.4937634,91.7876657,19.08528,61.5220863,2.808,64.138,33.054
0.06,0.6,0.34,28.1927426,91.7876657,19.08528,61.5220863,2.687,67.429,29.884
0.06,0.62,0.32,27.8688819,91.7876657,19.08528,61.5220863,2.541,70.601,26.857
0.06,0.64,0.3,27.5002768,91.7876657,19.08528,61.5220863,2.511,73.615,23.873
0.06,0.66,0.28,27.0825446,91.7876657,19.08528,61.5220863,2.379,76.415,21.206
0.06,0.68,0.26,26.6052295,91.7876657,19.08528,61.5220863,2.363,78.893,18.745
0.06,0.7000000000000001,0.24,26.1282857,91.7876657,19.08528,61.5220863,2.274,81.309,16.417
0.06,0.72,0.22,25.6538662,91.7876657,19.08528,61.5220863,2.185,83.533,14.281
0.06,0.74,0.2,25.1911534,91.7876657,19.08528,61.5220863,2.105,85.575,12.321
0.06,0.76,0.18,24.7374404,91.7876657,19.08528,61.5220863,2.012,87.438,10.55
0.06,0.78,0.16,24.3241631,91.7876657,19.08528,61.5220863,1.912,89.159,8.929
0.06,0.8,0.14,24.0649798,91.7876657,19.08528,61.5220863,1.63,91.053,7.318
0.06,0.8200000000000001,0.12,23.8419633,91.7876657,19.08528,61.5220863,1.57,92.476,5.954
0.06,0.84,0.1,23.8086676,91.7876657,19.08528,61.5220863,1.412,93.793,4.795
0.06,0.86,0.08,23.9626664,91.7876657,19.08528,61.5220863,1.317,94.938,3.744
0.06,0.88,0.06,24.3407587,91.7876657,19.08528,61.5220863,1.23,95.905,2.864
0.06,0.9,0.04,24.9363705,91.7876657,19.08528,61.5220863,1.412,96.69,1.898
0.06,0.92,0.02,25.7139775,91.7876657,19.08528,61.5220863,1.38,97.395,1.225
0.06,0.9400000000000001,0.0,26.6534871,91.7876657,19.08528,0.0,1.526,98.474,0.0
0.08,0.0,0.92,24.9733752,91.7876657,0.0,61.5220863,3.029,0.0,96.971
0.08,0.02,0.9,24.6516734,91.7876657,19.08528,61.5220863,3.151,0.0,96.849
0.08,0.04,0.88,24.4351946,91.7876657,19.08528,61.5220863,3.257,0.129,96.614
0.08,0.06,0.86,24.3019328,91.7876657,19.08528,61.5220863,3.398,0.595,96.007
0.08,0.08,0.84,24.3004757,91.7876657,19.08528,61.5220863,3.394,0.429,96.177
0.08,0.1,0.8200000000000001,24.3822682,91.7876657,19.08528,61.5220863,3.401,0.936,95.663
0.08,0.12,0.8,24.5791023,91.7876657,19.08528,61.5220863,3.386,1.422,95.192
0.08,0.14,0.78,24.7344536,91.7876657,19.08528,61.5220863,3.613,2.67,93.717
0.08,0.16,0.76,25.0047055,91.7876657,19.08528,61.5220863,3.769,3.561,92.67
0.08,0.18,0.74,24.892188,91.7876657,19.08528,61.5220863,3.964,6.867,89.169
0.08,0.2,0.72,25.1718744,91.7876657,19.08528,61.5220863,4.059,8.34,87.601
0.08,0.22,0.7000000000000001,25.4848848,91.7876657,19.08528,61.5220863,4.184,9.925,85.891
0.08,0.24,0.68,25.8064927,91.7876657,19.08528,61.5220863,4.274,11.724,84.002
0.08,0.26,0.66,26.1577956,91.7876657,19.08528,61.5220863,4.285,13.741,81.974
0.08,0.28,0.64,26.491539,91.7876657,19.08528,61.5220863,4.365,15.898,79.738
0.08,0.3,0.62,26.863797,91.7876657,19.08528,61.5220863,4.377,18.293,77.33
0.08,0.32,0.6,27.1851128,91.7876657,19.08528,61.5220863,4.449,20.801,74.751
0.08,0.34,0.58,27.4870759,91.7876657,19.08528,61.5220863,4.464,23.577,71.958
0.08,0.36,0.56,27.7955805,91.7876657,19.08528,61.5220863,4.536,26.479,68.985
0.08,0.38,0.54,28.0426904,91.7876657,19.08528,61.5220863,4.467,29.662,65.871
0.08,0.4,0.52,28.1783246,91.7876657,19.08528,61.5220863,4.491,32.911,62.599
0.08,0.42,0.5,28.3350003,91.7876657,19.08528,61.5220863,4.456,36.34,59.204
0.08,0.44,0.48,28.5535722,91.7876657,19.08528,61.5220863,4.401,39.846,55.753
0.08,0.46,0.46,28.5513984,91.7876657,19.08528,61.5220863,4.351,43.447,52.202
0.08,0.48,0.44,28.76921,91.7876657,19.08528,61.5220863,4.142,47.29,48.567
0.08,0.5,0.42,28.6419938,91.7876657,19.08528,61.5220863,4.075,51.022,44.903
0.08,0.52,0.4,28.4389012,91.7876657,19.08528,61.5220863,3.965,54.75,41.284
0.08,0.54,0.38,28.2922025,91.7876657,19.08528,61.5220863,3.86,58.39,37.75
0.08,0.56,0.36,28.0663127,91.7876657,19.08528,61.5220863,3.758,61.885,34.356
0.08,0.58,0.34,27.8098211,91.7876657,19.08528,61.5220863,3.601,65.34,31.059
0.08,0.6,0.32,27.5169424,91.7876657,19.08528,61.5220863,3.432,68.663,27.905
0.08,0.62,0.3,27.2142533,91.7876657,19.08528,61.5220863,3.12,71.918,24.962
0.08,0.64,0.28,26.8344292,91.7876657,19.08528,61.5220863,3.039,74.851,22.11
0.08,0.66,0.26,26.4008255,91.7876657,19.08528,61.5220863,2.945,77.583,19.471
0.08,0.68,0.24,25.9778331,91.7876657,19.08528,61.5220863,2.867,80.047,17.086
0.08,0.7000000000000001,0.22,25.4795997,91.7876657,19.08528,61.5220863,2.696,82.315,14.989
0.08,0.72,0.2,25.0401077,91.7876657,19.08528,61.5220863,2.609,84.442,12.95
0.08,0.74,0.18,24.6115474,91.7876657,19.08528,61.5220863,2.501,86.459,11.04
0.08,0.76,0.16,24.2445648,91.7876657,19.08528,61.5220863,2.315,88.298,9.387
0.08,0.78,0.14,23.9440318,91.7876657,19.08528,61.5220863,2.148,90.012,7.839
0.08,0.8,0.12,23.7439704,91.7876657,19.08528,61.5220863,2.044,91.483,6.473
0.08,0.8200000000000001,0.1,23.7384715,91.7876657,19.08528,61.5220863,1.911,93.041,5.049
0.08,0.84,0.08,23.8903276,91.7876657,19.08528,61.5220863,1.771,94.253,3.976
0.08,0.86,0.06,24.2702259,91.7876657,19.08528,61.5220863,1.913,95.316,2.771
0.08,0.88,0.04,24.8627822,91.7876657,19.08528,61.5220863,1.871,96.1,2.029
0.08,0.9,0.02,25.6339646,91.7876657,19.08528,61.5220863,1.82,96.807,1.373
0.08,0.92,0.0,26.5821832,91.7876657,19.08528,0.0,1.955,98.045,0.0
0.1,0.0,0.9,24.9718306,91.7876657,0.0,61.5220863,3.605,0.0,96.395
0.1,0.02,0.88,24.604125,91.7876657,19.08528,61.5220863,3.785,0.0,96.214
0.1,0.04,0.86,24.3525985,91.7876657,19.08528,61.5220863,3.92,0.03,96.049
0.1,0.06,0.84,24.2020308,91.7876657,19.08528,61.5220863,4.049,0.609,95.341
0.1,0.08,0.8200000000000001,24.1400666,91.7876657,19.08528,61.5220863,4.167,1.243,94.59
0.1,0.1,0.8,24.2476897,91.7876657,19.08528,61.5220863,4.113,0.878,95.009
0.1,0.12,0.78,24.3894185,91.7876657,19.08528,61.5220863,4.201,1.393,94.405
0.1,0.14,0.76,24.611096,91.7876657,19.08528,61.5220863,4.255,2.221,93.524
0.1,0.16,0.74,24.8320589,91.7876657,19.08528,61.5220863,4.442,3.594,91.964
0.1,0.18,0.72,24.6680561,91.7876657,19.08528,61.5220863,4.635,7.07,88.294
0.1,0.2,0.7000000000000001,24.9312703,91.7876657,19.08528,61.5220863,4.787,8.58,86.633
0.1,0.22,0.68,25.2038145,91.7876657,19.08528,61.5220863,4.921,10.301,84.778
0.1,0.24,0.66,25.5203697,91.7876657,19.08528,61.5220863,5.002,12.191,82.807
0.1,0.26,0.64,25.8259043,91.7876657,19.08528,61.5220863,5.186,14.157,80.657
0.1,0.28,0.62,26.1648772,91.7876657,19.08528,61.5220863,5.199,16.457,78.344
0.1,0.3,0.6,26.4831727,91.7876657,19.08528,61.5220863,5.303,18.866,75.831
0.1,0.32,0.58,26.7840271,91.7876657,19.08528,61.5220863,5.381,21.482,73.137
0.1,0.34,0.56,27.0720725,91.7876657,19.08528,61.5220863,5.458,24.242,70.301
0.1,0.36,0.54,27.3521529,91.7876657,19.08528,61.5220863,5.523,27.176,67.301
0.1,0.38,0.52,27.5738172,91.7876657,19.08528,61.5220863,5.486,30.411,64.104
0.1,0.4,0.5,27.7619597,91.7876657,19.08528,61.5220863,5.476,33.744,60.78
0.1,0.42,0.48,27.9181058,91.7876657,19.08528,61.5220863,5.38,37.292,57.328
0.1,0.44,0.46,27.9899686,91.7876657,19.08528,61.5220863,5.38,40.841,53.779
0.1,0.46,0.44,28.048984,91.7876657,19.08528,61.5220863,5.28,44.738,49.983
0.1,0.48,0.42,28.0873987,91.7876657,19.08528,61.5220863,5.148,48.466,46.386
0.1,0.5,0.4,28.0008403,91.7876657,19.08528,61.5220863,5.028,52.216,42.756
0.1,0.52,0.38,27.8639548,91.7876657,19.08528,61.5220863,4.886,55.93,39.183
0.1,0.54,0.36,27.6819008,91.7876657,19.08528,61.5220863,4.788,59.533,35.679
0.1,0.56,0.34,27.4603507,91.7876657,19.08528,61.5220863,4.605,63.12,32.276
0.1,0.58,0.32,27.1919424,91.7876657,19.08528,61.5220863,4.478,66.426,29.096
0.1,0.6,0.3,26.9158324,91.7876657,19.08528,61.5220863,4.157,69.884,25.959
0.1,0.62,0.28,26.5598344,91.7876657,19.08528,61.5220863,4.012,72.919,23.07
0.1,0.64,0.26,26.1716028,91.7876657,19.08528,61.5220863,3.918,75.735,20.347
0.1,0.66,0.24,25.763858,91.7876657,19.08528,61.5220863,3.74,78.445,17.815
